year,odometer,grade_of_rust,accident_zone,severity_of_accident,is_flooded,component,ease_of_acces(0-2),time_in_minutes,success,vehicle_type
2009.0,258000,4.0,rear,2.0,0.0,battery,0.0,12.7,0.0,ev
2010.0,239000,5.0,side,3.0,1.0,battery,0.0,12.5,0.0,combustion
2011.0,200000,0.0,none,0.0,0.0,battery,0.0,9.5,1.0,combustion
2012.0,211000,1.0,front,5.0,1.0,battery,0.0,11.0,1.0,hybrid
2013.0,178000,2.0,rear,1.0,0.0,battery,0.0,12.4,1.0,ev
2014.0,144000,3.0,side,2.0,0.0,battery,0.0,12.3,0.0,combustion
2015.0,140000,4.0,none,0.0,0.0,battery,0.0,12.9,1.0,combustion
2016.0,116000,5.0,front,4.0,1.0,battery,0.0,13.0,0.0,combustion
2017.0,134000,0.0,rear,5.0,0.0,battery,0.0,10.3,1.0,combustion
2018.0,123000,1.0,side,1.0,0.0,battery,0.0,10.4,1.0,combustion
2019.0,74000,2.0,none,0.0,0.0,battery,0.0,10.9,0.0,combustion
2020.0,73000,3.0,front,3.0,1.0,battery,0.0,10.7,0.0,combustion
2021.0,66000,4.0,rear,4.0,0.0,battery,0.0,12.0,1.0,combustion
2022.0,28000,5.0,side,5.0,1.0,battery,0.0,12.7,0.0,combustion
2008.0,254000,0.0,none,0.0,0.0,battery,0.0,10.7,1.0,combustion
2009.0,251000,1.0,front,2.0,0.0,battery,0.0,10.7,1.0,ev
2010.0,203000,2.0,rear,3.0,0.0,battery,0.0,11.1,1.0,ev
2011.0,200000,3.0,side,4.0,1.0,battery,0.0,10.8,0.0,combustion
2012.0,193000,4.0,none,0.0,0.0,battery,0.0,11.2,0.0,hybrid
2013.0,212000,5.0,front,1.0,0.0,battery,0.0,13.0,0.0,combustion
2014.0,186000,0.0,rear,2.0,0.0,battery,0.0,9.7,0.0,combustion
2015.0,147000,1.0,side,3.0,1.0,battery,0.0,10.7,0.0,combustion
2016.0,146000,2.0,none,0.0,0.0,battery,0.0,10.7,0.0,hybrid
2017.0,123000,3.0,front,5.0,1.0,battery,0.0,12.0,0.0,combustion
2018.0,89000,4.0,rear,1.0,0.0,battery,0.0,11.7,1.0,combustion
2019.0,78000,5.0,side,2.0,0.0,battery,0.0,13.7,0.0,combustion
2020.0,59000,0.0,none,0.0,0.0,battery,0.0,10.6,1.0,combustion
2021.0,59000,1.0,front,4.0,1.0,battery,0.0,8.2,1.0,combustion
2022.0,47000,2.0,rear,5.0,0.0,battery,0.0,10.8,1.0,combustion
2008.0,228000,3.0,side,1.0,0.0,battery,0.0,10.8,0.0,ev
2009.0,256000,4.0,none,0.0,0.0,battery,0.0,12.3,1.0,combustion
2010.0,226000,5.0,front,3.0,1.0,battery,0.0,11.9,0.0,combustion
2011.0,208000,0.0,rear,4.0,0.0,battery,0.0,8.3,1.0,hybrid
2012.0,190000,1.0,side,5.0,1.0,battery,0.0,10.6,1.0,combustion
2013.0,204000,2.0,none,0.0,0.0,battery,0.0,11.4,1.0,combustion
2014.0,162000,3.0,front,2.0,0.0,battery,0.0,11.9,0.0,combustion
2015.0,147000,4.0,rear,3.0,0.0,battery,0.0,13.7,1.0,combustion
2016.0,146000,5.0,side,4.0,1.0,battery,0.0,13.5,0.0,combustion
2017.0,120000,0.0,none,0.0,0.0,battery,0.0,9.7,1.0,hybrid
2018.0,117000,1.0,front,1.0,0.0,battery,0.0,9.9,1.0,combustion
2019.0,91000,2.0,rear,2.0,0.0,battery,0.0,10.8,1.0,combustion
2020.0,76000,3.0,side,3.0,1.0,battery,0.0,11.2,1.0,hybrid
2021.0,78000,4.0,none,0.0,0.0,battery,0.0,12.5,1.0,combustion
2022.0,44000,5.0,front,5.0,1.0,battery,0.0,12.4,1.0,ev
2008.0,241000,0.0,rear,1.0,0.0,battery,0.0,10.2,1.0,combustion
2009.0,221000,1.0,side,2.0,0.0,battery,0.0,10.9,1.0,combustion
2010.0,226000,2.0,none,0.0,0.0,battery,0.0,11.3,0.0,combustion
2011.0,196000,3.0,front,4.0,1.0,battery,0.0,11.5,0.0,hybrid
2012.0,206000,4.0,rear,5.0,0.0,battery,0.0,12.7,0.0,combustion
2013.0,184000,5.0,side,1.0,0.0,battery,0.0,13.8,0.0,combustion
2014.0,160000,0.0,none,0.0,0.0,battery,0.0,8.5,1.0,combustion
2015.0,140000,1.0,front,3.0,1.0,battery,0.0,11.9,1.0,combustion
2016.0,134000,2.0,rear,4.0,0.0,battery,0.0,10.6,1.0,hybrid
2017.0,129000,3.0,side,5.0,1.0,battery,0.0,10.8,0.0,combustion
2018.0,118000,4.0,none,0.0,0.0,battery,0.0,12.9,1.0,hybrid
2019.0,72000,5.0,front,2.0,0.0,battery,0.0,13.2,0.0,combustion
2020.0,104000,0.0,rear,3.0,0.0,battery,0.0,9.9,1.0,hybrid
2021.0,50000,1.0,side,4.0,1.0,battery,0.0,10.8,1.0,combustion
2022.0,27000,2.0,none,0.0,0.0,battery,0.0,11.4,1.0,hybrid
2008.0,278000,3.0,front,1.0,0.0,battery,0.0,12.2,1.0,hybrid
2009.0,258000,4.0,rear,2.0,0.0,battery,0.0,12.4,1.0,ev
2010.0,239000,5.0,side,3.0,1.0,battery,0.0,10.8,1.0,combustion
2011.0,200000,0.0,none,0.0,0.0,battery,0.0,10.5,1.0,combustion
2012.0,211000,1.0,front,5.0,1.0,battery,0.0,11.0,1.0,hybrid
2013.0,178000,2.0,rear,1.0,0.0,battery,0.0,10.7,0.0,ev
2014.0,144000,3.0,side,2.0,0.0,battery,0.0,11.4,1.0,combustion
2015.0,140000,4.0,none,0.0,0.0,battery,0.0,12.7,1.0,combustion
2016.0,116000,5.0,front,4.0,1.0,battery,0.0,12.6,1.0,combustion
2017.0,134000,0.0,rear,5.0,0.0,battery,0.0,9.0,1.0,combustion
2018.0,123000,1.0,side,1.0,0.0,battery,0.0,9.6,0.0,combustion
2019.0,74000,2.0,none,0.0,0.0,battery,0.0,11.4,0.0,combustion
2020.0,73000,3.0,front,3.0,1.0,battery,0.0,11.7,1.0,combustion
2021.0,66000,4.0,rear,4.0,0.0,battery,0.0,13.1,1.0,combustion
2022.0,28000,5.0,side,5.0,1.0,battery,0.0,12.1,0.0,combustion
2008.0,254000,0.0,none,0.0,0.0,battery,0.0,10.6,1.0,combustion
2009.0,251000,1.0,front,2.0,0.0,battery,0.0,10.6,1.0,ev
2010.0,203000,2.0,rear,3.0,0.0,battery,0.0,10.4,1.0,ev
2011.0,200000,3.0,side,4.0,1.0,battery,0.0,12.0,1.0,combustion
2012.0,193000,4.0,none,0.0,0.0,battery,0.0,12.8,0.0,hybrid
2013.0,212000,5.0,front,1.0,0.0,battery,0.0,14.1,0.0,combustion
2014.0,186000,0.0,rear,2.0,0.0,battery,0.0,9.2,1.0,combustion
2015.0,147000,1.0,side,3.0,1.0,battery,0.0,9.4,0.0,combustion
2016.0,146000,2.0,none,0.0,0.0,battery,0.0,11.8,1.0,hybrid
2017.0,123000,3.0,front,5.0,1.0,battery,0.0,11.4,0.0,combustion
2018.0,89000,4.0,rear,1.0,0.0,battery,0.0,12.5,1.0,combustion
2019.0,78000,5.0,side,2.0,0.0,battery,0.0,12.8,0.0,combustion
2020.0,59000,0.0,none,0.0,0.0,battery,0.0,9.9,1.0,combustion
2021.0,59000,1.0,front,4.0,1.0,battery,0.0,9.5,1.0,combustion
2022.0,47000,2.0,rear,5.0,0.0,battery,0.0,13.0,0.0,combustion
2008.0,228000,3.0,side,1.0,0.0,battery,0.0,11.5,1.0,ev
2009.0,256000,4.0,none,0.0,0.0,battery,0.0,12.2,1.0,combustion
2010.0,226000,5.0,front,3.0,1.0,battery,0.0,12.3,0.0,combustion
2011.0,208000,0.0,rear,4.0,0.0,battery,0.0,10.0,1.0,hybrid
2012.0,190000,1.0,side,5.0,1.0,battery,0.0,10.9,1.0,combustion
2021.0,74000,0.0,none,0.0,0.0,alternator,1.0,48.5,1.0,combustion
2022.0,30000,1.0,front,2.0,0.0,alternator,1.0,53.8,0.0,combustion
2008.0,234000,2.0,rear,3.0,0.0,alternator,1.0,51.6,1.0,combustion
2009.0,227000,3.0,side,4.0,1.0,alternator,1.0,58.6,0.0,combustion
2010.0,219000,4.0,none,0.0,0.0,alternator,1.0,59.3,0.0,combustion
2011.0,197000,5.0,front,1.0,0.0,alternator,1.0,61.4,1.0,combustion
2012.0,213000,0.0,rear,2.0,0.0,alternator,1.0,45.7,1.0,combustion
2013.0,180000,1.0,side,3.0,1.0,alternator,1.0,49.9,1.0,hybrid
2014.0,144000,2.0,none,0.0,0.0,alternator,1.0,52.7,1.0,hybrid
2015.0,155000,3.0,front,5.0,1.0,alternator,1.0,60.0,0.0,combustion
2016.0,113000,4.0,rear,1.0,0.0,alternator,1.0,61.6,1.0,hybrid
2017.0,143000,5.0,side,2.0,0.0,alternator,1.0,63.5,0.0,combustion
2018.0,87000,0.0,none,0.0,0.0,alternator,1.0,46.8,1.0,combustion
2019.0,83000,1.0,front,4.0,1.0,alternator,1.0,60.5,0.0,hybrid
2020.0,78000,2.0,rear,5.0,0.0,alternator,1.0,53.5,0.0,combustion
2021.0,48000,3.0,side,1.0,0.0,alternator,1.0,55.1,0.0,hybrid
2022.0,30000,4.0,none,0.0,0.0,alternator,1.0,58.1,1.0,combustion
2008.0,259000,5.0,front,3.0,1.0,alternator,1.0,69.2,0.0,combustion
2009.0,217000,0.0,rear,4.0,0.0,alternator,1.0,49.6,1.0,hybrid
2010.0,241000,1.0,side,5.0,1.0,alternator,1.0,50.9,1.0,combustion
2011.0,191000,2.0,none,0.0,0.0,alternator,1.0,56.6,1.0,combustion
2012.0,176000,3.0,front,2.0,0.0,alternator,1.0,61.4,0.0,combustion
2013.0,178000,4.0,rear,3.0,0.0,alternator,1.0,58.7,1.0,combustion
2014.0,132000,5.0,side,4.0,1.0,alternator,1.0,64.7,0.0,combustion
2015.0,150000,0.0,none,0.0,0.0,alternator,1.0,48.1,1.0,combustion
2016.0,124000,1.0,front,1.0,0.0,alternator,1.0,51.8,1.0,combustion
2017.0,125000,2.0,rear,2.0,0.0,alternator,1.0,51.6,1.0,combustion
2018.0,103000,3.0,side,3.0,1.0,alternator,1.0,60.7,0.0,combustion
2019.0,103000,4.0,none,0.0,0.0,alternator,1.0,62.6,1.0,combustion
2020.0,62000,5.0,front,5.0,1.0,alternator,1.0,74.7,0.0,combustion
2021.0,72000,0.0,rear,1.0,0.0,alternator,1.0,44.9,0.0,combustion
2022.0,45000,1.0,side,2.0,0.0,alternator,1.0,57.6,1.0,combustion
2008.0,247000,2.0,none,0.0,0.0,alternator,1.0,59.2,1.0,combustion
2009.0,243000,3.0,front,4.0,1.0,alternator,1.0,70.1,1.0,combustion
2010.0,213000,4.0,rear,5.0,0.0,alternator,1.0,61.6,0.0,combustion
2011.0,201000,5.0,side,1.0,0.0,alternator,1.0,62.3,0.0,combustion
2012.0,187000,0.0,none,0.0,0.0,alternator,1.0,50.9,0.0,combustion
2013.0,183000,1.0,front,3.0,1.0,alternator,1.0,58.6,1.0,combustion
2014.0,163000,2.0,rear,4.0,0.0,alternator,1.0,55.4,0.0,combustion
2015.0,118000,3.0,side,5.0,1.0,alternator,1.0,56.0,0.0,combustion
2016.0,157000,4.0,none,0.0,0.0,alternator,1.0,60.2,1.0,hybrid
2017.0,146000,5.0,front,2.0,0.0,alternator,1.0,66.1,1.0,hybrid
2018.0,95000,0.0,rear,3.0,0.0,alternator,1.0,51.2,1.0,combustion
2019.0,103000,1.0,side,4.0,1.0,alternator,1.0,50.8,1.0,combustion
2020.0,83000,2.0,none,0.0,0.0,alternator,1.0,60.3,1.0,combustion
2021.0,54000,3.0,front,1.0,0.0,alternator,1.0,56.8,0.0,hybrid
2022.0,42000,4.0,rear,2.0,0.0,alternator,1.0,59.6,1.0,hybrid
2008.0,271000,5.0,side,3.0,1.0,alternator,1.0,68.7,0.0,combustion
2009.0,216000,0.0,none,0.0,0.0,alternator,1.0,45.9,1.0,hybrid
2010.0,237000,1.0,front,5.0,1.0,alternator,1.0,65.5,0.0,hybrid
2011.0,229000,2.0,rear,1.0,0.0,alternator,1.0,51.3,0.0,combustion
2012.0,185000,3.0,side,2.0,0.0,alternator,1.0,57.6,0.0,combustion
2013.0,202000,4.0,none,0.0,0.0,alternator,1.0,60.0,1.0,hybrid
2014.0,177000,5.0,front,4.0,1.0,alternator,1.0,72.8,0.0,combustion
2015.0,166000,0.0,rear,5.0,0.0,alternator,1.0,53.3,1.0,combustion
2016.0,134000,1.0,side,1.0,0.0,alternator,1.0,55.7,1.0,hybrid
2017.0,104000,2.0,none,0.0,0.0,alternator,1.0,56.7,1.0,combustion
2018.0,99000,3.0,front,3.0,1.0,alternator,1.0,64.0,1.0,hybrid
2019.0,56000,4.0,rear,4.0,0.0,alternator,1.0,55.0,0.0,combustion
2020.0,63000,5.0,side,5.0,1.0,alternator,1.0,64.1,0.0,combustion
2021.0,74000,0.0,none,0.0,0.0,alternator,1.0,47.5,1.0,combustion
2022.0,30000,1.0,front,2.0,0.0,alternator,1.0,52.1,1.0,combustion
2008.0,234000,2.0,rear,3.0,0.0,alternator,1.0,55.2,0.0,combustion
2009.0,227000,3.0,side,4.0,1.0,alternator,1.0,58.0,1.0,combustion
2010.0,219000,4.0,none,0.0,0.0,alternator,1.0,59.7,0.0,combustion
2011.0,197000,5.0,front,1.0,0.0,alternator,1.0,67.1,0.0,combustion
2012.0,213000,0.0,rear,2.0,0.0,alternator,1.0,56.0,1.0,combustion
2013.0,180000,1.0,side,3.0,1.0,alternator,1.0,50.5,1.0,hybrid
2014.0,144000,2.0,none,0.0,0.0,alternator,1.0,57.9,1.0,hybrid
2015.0,155000,3.0,front,5.0,1.0,alternator,1.0,76.1,0.0,combustion
2016.0,113000,4.0,rear,1.0,0.0,alternator,1.0,61.8,0.0,hybrid
2017.0,143000,5.0,side,2.0,0.0,alternator,1.0,64.0,0.0,combustion
2018.0,87000,0.0,none,0.0,0.0,alternator,1.0,52.0,1.0,combustion
2019.0,83000,1.0,front,4.0,1.0,alternator,1.0,60.1,0.0,hybrid
2020.0,78000,2.0,rear,5.0,0.0,alternator,1.0,54.7,1.0,combustion
2021.0,48000,3.0,side,1.0,0.0,alternator,1.0,52.0,0.0,hybrid
2022.0,30000,4.0,none,0.0,0.0,alternator,1.0,58.8,0.0,combustion
2008.0,259000,5.0,front,3.0,1.0,alternator,1.0,75.3,0.0,combustion
2009.0,217000,0.0,rear,4.0,0.0,alternator,1.0,48.9,1.0,hybrid
2010.0,241000,1.0,side,5.0,1.0,alternator,1.0,57.8,0.0,combustion
2011.0,191000,2.0,none,0.0,0.0,alternator,1.0,54.7,1.0,combustion
2012.0,176000,3.0,front,2.0,0.0,alternator,1.0,64.6,0.0,combustion
2013.0,178000,4.0,rear,3.0,0.0,alternator,1.0,57.8,1.0,combustion
2014.0,132000,5.0,side,4.0,1.0,alternator,1.0,62.6,0.0,combustion
2015.0,150000,0.0,none,0.0,0.0,alternator,1.0,47.5,1.0,combustion
2016.0,124000,1.0,front,1.0,0.0,alternator,1.0,53.9,1.0,combustion
2017.0,125000,2.0,rear,2.0,0.0,alternator,1.0,56.6,0.0,combustion
2018.0,103000,3.0,side,3.0,1.0,alternator,1.0,55.7,0.0,combustion
2019.0,103000,4.0,none,0.0,0.0,alternator,1.0,56.6,0.0,combustion
2020.0,62000,5.0,front,5.0,1.0,alternator,1.0,74.5,0.0,combustion
2021.0,72000,0.0,rear,1.0,0.0,alternator,1.0,49.9,1.0,combustion
2022.0,45000,1.0,side,2.0,0.0,alternator,1.0,55.4,1.0,combustion
2008.0,247000,2.0,none,0.0,0.0,alternator,1.0,50.7,1.0,combustion
2009.0,243000,3.0,front,4.0,1.0,alternator,1.0,60.7,0.0,combustion
2010.0,213000,4.0,rear,5.0,0.0,alternator,1.0,58.7,0.0,combustion
2011.0,201000,5.0,side,1.0,0.0,alternator,1.0,67.4,0.0,combustion
2012.0,187000,0.0,none,0.0,0.0,alternator,1.0,44.9,1.0,combustion
2013.0,183000,1.0,front,3.0,1.0,alternator,1.0,56.0,0.0,combustion
2014.0,163000,2.0,rear,4.0,0.0,alternator,1.0,59.5,0.0,combustion
2015.0,118000,3.0,side,5.0,1.0,alternator,1.0,56.5,1.0,combustion
2016.0,157000,4.0,none,0.0,0.0,alternator,1.0,60.2,0.0,hybrid
2017.0,146000,5.0,front,2.0,0.0,alternator,1.0,68.9,0.0,hybrid
2018.0,95000,0.0,rear,3.0,0.0,alternator,1.0,51.1,0.0,combustion
2019.0,103000,1.0,side,4.0,1.0,alternator,1.0,51.1,1.0,combustion
2020.0,83000,2.0,none,0.0,0.0,alternator,1.0,47.6,1.0,combustion
2021.0,54000,3.0,front,1.0,0.0,alternator,1.0,58.1,1.0,hybrid
2022.0,42000,4.0,rear,2.0,0.0,alternator,1.0,60.2,1.0,hybrid
2008.0,271000,5.0,side,3.0,1.0,alternator,1.0,54.2,0.0,combustion
2009.0,216000,0.0,none,0.0,0.0,alternator,1.0,52.6,1.0,hybrid
2010.0,237000,1.0,front,5.0,1.0,alternator,1.0,61.2,0.0,hybrid
2011.0,229000,2.0,rear,1.0,0.0,alternator,1.0,49.2,1.0,combustion
2012.0,185000,3.0,side,2.0,0.0,alternator,1.0,55.9,1.0,combustion
2013.0,202000,4.0,none,0.0,0.0,alternator,1.0,65.8,0.0,hybrid
2014.0,177000,5.0,front,4.0,1.0,alternator,1.0,75.8,0.0,combustion
2015.0,166000,0.0,rear,5.0,0.0,alternator,1.0,49.1,1.0,combustion
2016.0,134000,1.0,side,1.0,0.0,alternator,1.0,51.2,0.0,hybrid
2017.0,104000,2.0,none,0.0,0.0,alternator,1.0,47.5,0.0,combustion
2018.0,99000,3.0,front,3.0,1.0,alternator,1.0,64.1,0.0,hybrid
2019.0,56000,4.0,rear,4.0,0.0,alternator,1.0,63.4,0.0,combustion
2020.0,63000,5.0,side,5.0,1.0,alternator,1.0,59.2,0.0,combustion
2021.0,74000,0.0,none,0.0,0.0,alternator,1.0,49.4,1.0,combustion
2022.0,30000,1.0,front,2.0,0.0,alternator,1.0,52.1,1.0,combustion
2008.0,234000,2.0,rear,3.0,0.0,alternator,1.0,56.3,1.0,combustion
2009.0,227000,3.0,side,4.0,1.0,alternator,1.0,53.2,0.0,combustion
2010.0,219000,4.0,none,0.0,0.0,alternator,1.0,61.4,0.0,combustion
2011.0,197000,5.0,front,1.0,0.0,alternator,1.0,61.4,0.0,combustion
2012.0,213000,0.0,rear,2.0,0.0,alternator,1.0,43.7,1.0,combustion
2013.0,180000,1.0,side,3.0,1.0,alternator,1.0,50.0,0.0,hybrid
2014.0,144000,2.0,none,0.0,0.0,alternator,1.0,53.5,1.0,hybrid
2015.0,155000,3.0,front,5.0,1.0,alternator,1.0,69.2,0.0,combustion
2016.0,113000,4.0,rear,1.0,0.0,alternator,1.0,57.2,1.0,hybrid
